1.725000000000000000e+02,1.040300000000000011e+02,1.037900000000000063e+02,4.269999999999999574e+00,2.899999999999999911e+00,1.127199999999999989e+02
1.718100000000000023e+02,1.039300000000000068e+02,1.034300000000000068e+02,4.610000000000000320e+00,2.950000000000000178e+00,1.134599999999999937e+02
1.714699999999999989e+02,1.044599999999999937e+02,1.042999999999999972e+02,4.120000000000000107e+00,3.060000000000000053e+00,1.135900000000000034e+02
1.724600000000000080e+02,1.039899999999999949e+02,1.040400000000000063e+02,4.139999999999999680e+00,2.680000000000000160e+00,1.129300000000000068e+02
1.718000000000000114e+02,1.039599999999999937e+02,1.038700000000000045e+02,3.970000000000000195e+00,2.649999999999999911e+00,1.126800000000000068e+02
1.724499999999999886e+02,1.047199999999999989e+02,1.041700000000000017e+02,4.179999999999999716e+00,2.830000000000000071e+00,1.137500000000000000e+02
1.720300000000000011e+02,1.041899999999999977e+02,1.040100000000000051e+02,3.990000000000000213e+00,3.040000000000000036e+00,1.131500000000000057e+02
1.717100000000000080e+02,1.034300000000000068e+02,1.036099999999999994e+02,4.110000000000000320e+00,2.970000000000000195e+00,1.129500000000000028e+02
1.720399999999999920e+02,1.039399999999999977e+02,1.037600000000000051e+02,3.810000000000000053e+00,3.240000000000000213e+00,1.134099999999999966e+02
1.715300000000000011e+02,1.035300000000000011e+02,1.036299999999999955e+02,4.040000000000000036e+00,2.959999999999999964e+00,1.127600000000000051e+02
1.718499999999999943e+02,1.038499999999999943e+02,1.034500000000000028e+02,3.850000000000000089e+00,3.089999999999999858e+00,1.130999999999999943e+02
1.720099999999999909e+02,1.038100000000000023e+02,1.036500000000000057e+02,4.360000000000000320e+00,3.029999999999999805e+00,1.132600000000000051e+02
1.721299999999999955e+02,1.037099999999999937e+02,1.035999999999999943e+02,3.589999999999999858e+00,3.120000000000000107e+00,1.137999999999999972e+02
1.721100000000000136e+02,1.042399999999999949e+02,1.040600000000000023e+02,5.610000000000000320e+00,3.600000000000000089e+00,1.117600000000000051e+02
1.717899999999999920e+02,1.036899999999999977e+02,1.036800000000000068e+02,3.649999999999999911e+00,2.770000000000000018e+00,1.127800000000000011e+02
1.717400000000000091e+02,1.043199999999999932e+02,1.036400000000000006e+02,5.469999999999999751e+00,3.279999999999999805e+00,1.115600000000000023e+02
